seed,arch_name,total_params,w_pos,w_angle,w_bce,early_stop_epoch,val_loss_final,test_mpjpe_mean,test_mae_deg,test_roc_auc,test_f1,convergence_time_s,peak_gpu_mb,timestamp
0,TCN_GRU_BASELINE,842346,1.0,0.5,0.2,41,0.0173,0.9101,4.43,1.0000,1.0000,7.29,62,2025-09-26 17:09:54
11,TCN_GRU_BASELINE,842346,1.0,0.5,0.2,35,0.0195,0.9626,5.72,1.0000,0.9932,5.89,62,2025-09-26 17:10:00
22,TCN_GRU_BASELINE,842346,1.0,0.5,0.2,35,0.0190,0.9046,4.47,1.0000,0.9932,5.84,62,2025-09-26 17:10:06
33,TCN_GRU_BASELINE,842346,1.0,0.5,0.2,40,0.0170,0.9206,5.48,1.0000,0.9932,6.66,62,2025-09-26 17:10:13
44,TCN_GRU_BASELINE,842346,1.0,0.5,0.2,53,0.0135,1.0323,7.45,1.0000,0.9932,9.11,62,2025-09-26 17:10:22
0,BIGRU_ATTENTION,3102826,1.0,0.5,0.2,32,0.0239,1.2026,8.16,1.0000,1.0000,10.03,153,2025-09-26 17:10:32
11,BIGRU_ATTENTION,3102826,1.0,0.5,0.2,47,0.0216,1.1193,7.12,1.0000,1.0000,14.45,153,2025-09-26 17:10:47
22,BIGRU_ATTENTION,3102826,1.0,0.5,0.2,30,0.0326,1.3392,9.93,1.0000,1.0000,9.37,153,2025-09-26 17:10:56
33,BIGRU_ATTENTION,3102826,1.0,0.5,0.2,29,0.0264,1.4275,11.80,1.0000,1.0000,8.80,153,2025-09-26 17:11:05
44,BIGRU_ATTENTION,3102826,1.0,0.5,0.2,47,0.0219,1.3158,8.97,1.0000,0.9932,14.60,153,2025-09-26 17:11:20
0,STGCN_BASELINE,844330,1.0,0.5,0.2,53,0.0915,2.7779,11.40,1.0000,0.9861,34.60,316,2025-09-26 17:11:54
11,STGCN_BASELINE,844330,1.0,0.5,0.2,68,0.0810,2.6067,14.36,1.0000,0.9799,44.29,316,2025-09-26 17:12:39
22,STGCN_BASELINE,844330,1.0,0.5,0.2,46,0.0916,2.7985,10.96,1.0000,1.0000,30.13,316,2025-09-26 17:13:09
33,STGCN_BASELINE,844330,1.0,0.5,0.2,35,0.1219,2.6226,13.28,1.0000,0.9932,22.92,315,2025-09-26 17:13:32
44,STGCN_BASELINE,844330,1.0,0.5,0.2,62,0.0746,2.9061,13.01,1.0000,0.9865,40.50,316,2025-09-26 17:14:12
0,STGCN_ATTENTION,1107498,1.0,0.5,0.2,80,0.0585,1.7511,6.98,1.0000,1.0000,54.29,319,2025-09-26 17:15:07
11,STGCN_ATTENTION,1107498,1.0,0.5,0.2,80,0.0507,2.0443,10.20,1.0000,1.0000,54.38,319,2025-09-26 17:16:01
22,STGCN_ATTENTION,1107498,1.0,0.5,0.2,57,0.0817,2.0079,8.81,0.9978,0.9931,38.56,320,2025-09-26 17:16:40
33,STGCN_ATTENTION,1107498,1.0,0.5,0.2,56,0.0702,2.2088,8.02,1.0000,0.9932,38.03,320,2025-09-26 17:17:18
44,STGCN_ATTENTION,1107498,1.0,0.5,0.2,80,0.0645,1.8588,6.60,1.0000,0.9932,54.17,319,2025-09-26 17:18:12
0,STGCN_GRU,1239082,1.0,0.5,0.2,52,0.0432,1.6508,8.40,1.0000,1.0000,36.16,322,2025-09-26 17:18:48
11,STGCN_GRU,1239082,1.0,0.5,0.2,38,0.0567,1.8957,8.50,1.0000,1.0000,26.46,322,2025-09-26 17:19:15
22,STGCN_GRU,1239082,1.0,0.5,0.2,39,0.0548,1.7647,6.30,0.9996,0.9861,27.18,321,2025-09-26 17:19:42
33,STGCN_GRU,1239082,1.0,0.5,0.2,44,0.0484,1.6969,6.66,1.0000,1.0000,30.52,322,2025-09-26 17:20:13
44,STGCN_GRU,1239082,1.0,0.5,0.2,55,0.0381,1.6595,5.89,1.0000,1.0000,38.24,322,2025-09-26 17:20:51
